Species,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Common Loon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
Common Merganser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Common Merganser,0,0,0,3,0,1,0,0,0,0,0,0,1,6,9,4,9,0,5,2,16,13,5,6,6,12,13,49,33,10,27,65,23,24,41,36,29,29,42,32,47,31,4,37,37,22,41,44
Common Nighthawk,4,4,23,52,52,86,97,88,30,52,55,66,89,102,83,108,147,102,140,90,186,147,247,162,268,236,266,263,378,265,204,304,197,241,354,350,248,311,309,238,272,193,209,242,209,255,191,252
Common Poorwill,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,3,1,0,3,1,1,0,1,7,5,9,1,2,8,7,4,3,4,0,4,2,5,7,10,2,5,6
Common Poorwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Common Raven,0,6,14,8,7,32,17,21,19,27,31,18,22,55,32,38,107,32,52,44,141,137,61,117,129,195,195,267,332,250,418,562,413,376,376,382,481,534,564,497,544,654,655,509,515,534,940,607
Common Yellowthroat,0,0,1,6,1,11,5,4,11,5,5,10,7,14,16,8,4,3,5,12,11,16,8,29,28,29,37,28,21,44,66,71,57,47,48,44,27,45,42,37,47,45,36,26,24,28,30,33
Cooper's Hawk,0,1,0,1,0,0,1,2,0,0,2,1,1,1,0,1,0,0,0,0,0,1,2,0,2,2,5,0,1,3,4,7,7,8,11,2,2,6,16,4,8,7,8,10,5,4,12,9
Cordilleran Flycatcher,3,22,13,17,22,26,15,17,8,24,16,20,19,9,3,18,17,22,34,21,37,40,49,11,64,70,134,83,131,154,174,192,183,183,182,203,197,130,153,234,191,184,193,178,133,127,160,159
Curve-billed Thrasher,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,3,0,7,0,1,1,7,2,0,2,1,1,3,7,3,4,0,4,3,5,3,9,5
Dickcissel,0,2,1,0,0,0,4,2,0,3,0,2,0,2,0,4,0,0,2,1,5,5,10,2,6,2,29,21,35,31,31,21,4,6,13,15,24,42,35,40,31,69,67,129,79,58,63,47
Double-crested Cormorant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,9,21,26,29,64,53,35,58,38,32,41,24,24,42,44,50,128,102,51,157,115,46,39,62,44,65
Downy Woodpecker,0,2,1,0,0,0,5,2,1,0,0,0,3,1,0,2,1,1,1,1,0,1,2,3,6,3,4,2,8,3,20,15,8,5,12,6,19,10,13,10,7,10,9,22,8,18,7,13
